datetime,temp_pre,temp_real,GHI_real,GHI_pre,Wind_pre,Wind_real,WinDir_pre,WinDir_real,Real,Forecast
5/30/2020 7:00,31.47119904,31,167.5,185.5857849,2.013007641,3.4210525,302.5973511,230,1094.498879,1141.571676
5/30/2020 8:00,31.93493271,29.5,282,332.6905518,2.053880453,1.9473683,267.2288208,346,920.1874116,1191.236287
5/30/2020 9:00,33.58086395,33,374.3,404.9014893,2.728458643,1.4210525,150.4362335,360,1234.317658,1326.113837
5/30/2020 10:00,33.53036499,33,463.5,421.210022,3.878394842,3.8947368,92.2586441,60,1209.11778,1317.432779
5/30/2020 11:00,33.82927322,32.5,596,516.0085449,4.084848404,3.5526314,79.76796722,61.000008,1436.447447,1426.661634
5/30/2020 12:00,34.17604446,33,694.5,640.3934326,4.816905975,4.842105,110.7509308,110,1338.722157,1362.53491
5/30/2020 13:00,35.46243668,36,700.5,671.5319824,4.685900688,4.368421,138.0020752,130,1405.786512,1397.678506
5/30/2020 14:00,35.00733948,34.3,603,607.8620605,5.254985332,5.5263157,145.4433441,153,1497.014974,1415.403422
5/30/2020 15:00,34.50396729,35,446.8,462.6574097,5.853718758,6.815789,157.7300873,150,1300.202455,1283.787639
5/30/2020 16:00,33.91736221,35,231.59999,270.4838867,4.32093811,4.368421,165.4225006,160,1325.543848,1225.331903
5/30/2020 17:00,32.30490494,33.1,58.5,74.68547058,3.787998199,4.605263,173.1408691,166,1453.835156,1229.311894
5/30/2020 18:00,31.68032074,33,0.099990845,-0.600372314,3.687862158,5.394737,174.0489655,150,1207.083953,1038.952497
5/30/2020 19:00,31.13966179,32,0,-0.219619751,2.744072676,3.8947368,189.8039551,180,1180.067745,946.329172
5/30/2020 20:00,30.42267418,30.7,0,2.460983276,2.145128727,2.6578946,216.2102051,244,960.8573531,899.2718363
5/30/2020 21:00,30.52643394,31,0,-6.530197144,2.343390703,2.9473684,209.140686,200,915.279908,1045.627349
5/30/2020 22:00,30.43025017,31,0,-0.623474121,2.104711533,2.473684,230.1381531,210,888.8542531,1020.038024
5/30/2020 23:00,29.34752464,29.5,0,1.276153564,1.520432711,0.6578944,238.8105316,346,1244.643089,1131.697296
5/31/2020 0:00,29.21144485,30,0,-4.642608643,1.79011023,2.9473684,262.9277344,340,1161.417848,1078.101343
5/31/2020 1:00,28.55662537,29,0,-4.883270264,1.300168037,1.9999999,280.135376,330,1161.39877,1072.576974
5/31/2020 2:00,28.22049522,28.7,0,-5.520980835,1.323266506,1.9473683,268.6833191,327,901.0275733,971.3731167
5/31/2020 3:00,27.73844528,28,0,-3.684356689,0.930015564,0.47368407,249.3030396,290,1006.969903,979.6161432
5/31/2020 4:00,27.6566658,28,0,-6.155151367,0.913696527,0.9473684,254.286972,320,831.153864,948.4157436
5/31/2020 5:00,27.4826889,27.2,12.5,5.136199951,0.804216146,0.31578922,249.9811401,319,1022.38213,1009.191661
5/31/2020 6:00,27.68316841,27,121.299995,35.91166687,1.088604927,0.9473684,252.7273407,310,882.0686397,1010.626078
5/31/2020 7:00,29.43299294,28,250.9,251.3680115,0.968452454,0.47368407,307.2075806,310,942.093791,806.7690114
5/31/2020 8:00,32.19260406,30.1,387.09998,407.3114319,1.421447754,0.9473684,212.5623474,340,960.5677221,1068.330178
5/31/2020 9:00,33.41753006,33,482.3,508.7098999,2.428936958,2.473684,174.0393066,220,1077.342706,1185.465934
5/31/2020 10:00,33.74757385,33,543,546.3215942,3.149324417,2.9473684,163.4750977,230,1354.521303,1362.807268
5/31/2020 11:00,34.37978745,33.2,578.5,564.0366211,4.312824726,3.8421052,128.6955109,113,1391.084442,1366.854869
5/31/2020 12:00,35.72441864,36,537,571.7059937,5.255655289,5.394737,156.2512512,150,1491.643494,1423.740594
5/31/2020 13:00,35.75624847,35,474.9,465.5735779,5.948679924,6.342105,153.3400269,140,1453.457908,1406.685342
5/31/2020 14:00,35.29851913,34.7,391.59998,377.9749756,5.980498314,6.1578946,161.5031891,154,1413.262596,1345.066161
5/31/2020 15:00,34.64918137,35,274.09998,260.1687927,5.555119514,5.868421,170.1585541,160,1491.258122,1327.019672
5/31/2020 16:00,33.35091782,34,161.2,130.2437439,5.629943848,6.815789,176.4559326,160,1380.317293,1269.822507
5/31/2020 17:00,32.34123993,33.1,47.800003,38.85247803,4.29999876,4.9210525,173.9717102,160,1269.22985,1126.365492
5/31/2020 18:00,31.35201454,32,0.099990845,-7.963119507,3.159652233,3.8947368,182.9987793,170,1048.245503,920.2032588
5/31/2020 19:00,31.13205528,32,0,-8.755828857,2.239721298,2.9473684,198.2388611,190,902.5598063,844.2636215
5/31/2020 20:00,30.40184402,30.5,0,-0.825424194,1.83333087,2.2894735,207.8184204,201,1003.106807,846.765556
5/31/2020 21:00,30.50278664,31,0,-7.237716675,1.628512144,1.4210525,200.2624664,170,1078.350909,962.919201
5/31/2020 22:00,30.26662827,31,0,0.71862793,1.49951148,1.4210525,229.1388245,280,995.9972847,994.2764355
5/31/2020 23:00,29.42595291,29.7,0,-1.550735474,1.301403046,0.9473684,240.213501,319,750.8400146,908.3879323
06/01/2020 00:00,29.11546135,30,0,-17.47872925,0.857931614,0,236.8058624,0,1129.483746,1055.32399
06/01/2020 01:00,29.26929855,30,0,-11.02984619,1.383649826,1.9999999,255.8204498,160,827.8647473,871.7899429
06/01/2020 02:00,28.85734749,29.5,0,-2.554641724,0.839546919,0.31578922,228.6163025,305,1102.745057,902.8719069
06/01/2020 03:00,28.03907013,28,0,1.191604614,1.079835653,1.4210525,226.1308899,310,762.802717,923.7859014
06/01/2020 04:00,27.82019234,28,0,4.990203857,0.629544497,0,262.004425,0,1005.868734,983.9948771
06/01/2020 05:00,27.80087852,28,12.5,23.06155396,0.86578989,0.9736841,264.7510071,326,874.6011154,906.9325137
06/01/2020 06:00,28.43091393,28,129.5,66.61595154,0.952045202,0.47368407,231.8744354,330,999.3330849,1009.863247
06/01/2020 07:00,30.30653763,29,286.9,283.8699951,1.021585703,0.9473684,280.9433899,310,1023.813111,850.8798147
06/01/2020 08:00,32.5062294,30.4,415.8,456.294342,1.649160743,1.5789472,195.2628937,346,1022.665196,1158.540135
